frame,stamp,lidar_x,lidar_y,lidar_z,enu_x,enu_y,enu_z,error_m,rmse_m
203,1769515234.419845104,53.435886,3.844347,-0.264557,55.244118,-3.308792,-0.000500,7.382873,6.159487
204,1769515234.519844770,53.786907,3.872822,-0.266362,55.564152,-3.331310,-0.004900,7.424721,6.228355
205,1769515234.619844437,54.129498,3.885776,-0.271762,55.960063,-3.364455,-0.006900,7.482444,6.297022
206,1769515234.719844103,54.482948,3.912544,-0.285436,56.356972,-3.390709,-0.016100,7.544668,6.365857
207,1769515234.819843531,54.826038,3.932158,-0.292539,56.725893,-3.424634,-0.022300,7.602951,6.433614
208,1769515234.919844151,55.169739,3.958763,-0.298793,57.054246,-3.451128,-0.026000,7.650638,6.501180
209,1769515235.019870520,55.515411,3.979264,-0.309813,57.345423,-3.474158,-0.031400,7.679841,6.568362
210,1769515235.119842768,55.897961,4.000968,-0.318258,57.709359,-3.502743,-0.037200,7.724366,6.635954
211,1769515235.219871283,56.264973,4.033213,-0.324217,58.073191,-3.532576,-0.043300,7.783941,6.704157
212,1769515235.319843531,56.634621,4.044946,-0.333435,58.435936,-3.562672,-0.042300,7.823385,6.736851
213,1769515235.419844389,56.996658,4.057866,-0.348206,58.761982,-3.589639,-0.049300,7.854301,6.802369
214,1769515235.519843102,57.351307,4.080095,-0.355745,59.118920,-3.619459,-0.044700,7.905968,6.866669
215,1769515235.619870424,57.715736,4.111409,-0.367347,59.478560,-3.648959,-0.051000,7.964354,6.932150
216,1769515235.719842196,58.081348,4.133865,-0.378287,59.805825,-3.675715,-0.050500,8.004425,6.996572
217,1769515235.819869518,58.448723,4.147544,-0.387811,60.163396,-3.709192,-0.058400,8.048411,7.060806
218,1769515235.919814587,58.811134,4.155492,-0.396942,60.483927,-3.737285,-0.055000,8.075338,7.089364
219,1769515236.019814491,59.165245,4.191895,-0.407897,60.877140,-3.773481,-0.058900,8.154729,7.118673
220,1769515236.119759321,59.516766,4.201800,-0.417699,61.272670,-3.804281,-0.058400,8.204244,7.147822
221,1769515236.219759941,59.885147,4.216743,-0.427685,61.628870,-3.837379,-0.065900,8.248656,7.207411
222,1769515236.519759655,60.253761,4.228542,-0.434449,62.266855,-3.898971,-0.059900,8.381486,7.270107
223,1769515236.619758606,61.315205,4.292967,-0.470198,63.113687,-3.981615,-0.059300,8.477741,7.334770
224,1769515236.819758177,62.023285,4.319114,-0.492744,63.631522,-4.034332,-0.058000,8.517951,7.431429
225,1769515237.119757414,63.087013,4.371648,-0.526094,64.557586,-4.124808,-0.067000,8.634994,7.530589
226,1769515237.319757223,63.780991,4.405070,-0.545473,65.205919,-4.191010,-0.073700,8.726144,7.595630
227,1769515237.419757366,64.120903,4.412455,-0.551754,65.712655,-4.244588,-0.072200,8.815217,7.660036
228,1769515237.619783878,64.668915,4.429884,-0.572930,66.216085,-4.301815,-0.077300,8.881552,7.723390
229,1769515237.719784021,65.137222,4.459815,-0.584258,66.524883,-4.332800,-0.077600,8.915850,7.787214
230,1769515237.819756031,65.477676,4.471690,-0.592934,66.934441,-4.375547,-0.082400,8.980891,7.850531
231,1769515238.019755840,66.149605,4.494096,-0.611277,67.626198,-4.453165,-0.084700,9.083562,7.884557
232,1769515238.119755745,66.494041,4.505215,-0.625529,68.147654,-4.503188,-0.081400,9.175066,7.949567
233,1769515238.219783783,66.846535,4.522873,-0.634891,68.530756,-4.543964,-0.079700,9.238635,7.984330
234,1769515238.319783449,67.193062,4.537861,-0.644833,68.843950,-4.580440,-0.086600,9.283344,8.018518
235,1769515238.519782543,67.770439,4.553916,-0.662166,69.466620,-4.648694,-0.094000,9.374853,8.110132
236,1769515238.619783163,68.230492,4.576104,-0.676060,69.873114,-4.695639,-0.092500,9.434191,8.171865
237,1769515238.719781876,68.579796,4.581863,-0.686419,70.278636,-4.741373,-0.093800,9.495261,8.206682
238,1769515238.819809198,68.924614,4.596784,-0.697298,70.611398,-4.781553,-0.094300,9.547881,8.268503
239,1769515239.119781733,69.277557,4.607790,-0.707089,71.237719,-4.857815,-0.092500,9.685950,8.359232
240,1769515239.219781876,70.276764,4.636075,-0.742439,71.885320,-4.939429,-0.097200,9.731088,8.422392
241,1769515239.319781303,70.615990,4.641760,-0.753457,72.492894,-5.017309,-0.100900,9.861349,8.486973
242,1769515239.419808865,70.948189,4.649796,-0.763387,72.841495,-5.063388,-0.101500,9.918097,8.552112
243,1769515239.519808531,71.286041,4.657534,-0.780952,73.203874,-5.083258,-0.116700,9.949993,8.616902
244,1769515239.719808340,71.912964,4.679833,-0.797007,73.912179,-5.177287,-0.115400,10.080887,8.712724
245,1769515239.819780827,72.351768,4.695982,-0.808149,74.524295,-5.258517,-0.119500,10.212059,8.782142
246,1769515239.919780016,72.696991,4.697152,-0.816842,74.961865,-5.281773,-0.142400,10.254924,8.851008
247,1769515240.019807577,72.898445,4.710252,-0.827293,75.351282,-5.338563,-0.146800,10.366204,8.921595
248,1769515240.119779587,73.201225,4.709384,-0.838043,75.708349,-5.385492,-0.153100,10.424075,8.992705
249,1769515240.319807529,73.846428,4.727917,-0.860081,76.254893,-5.430437,-0.176400,10.462326,9.094657
250,1769515240.419834852,74.143059,4.736776,-0.873274,76.745237,-5.491700,-0.187700,10.576534,9.167654
251,1769515240.519806862,74.441597,4.746247,-0.882895,77.028006,-5.530583,-0.189700,10.619947,9.240695
252,1769515240.619806767,74.764595,4.749572,-0.895913,77.314159,-5.584044,-0.218600,10.665020,9.313367
253,1769515240.719779730,75.051765,4.752370,-0.904007,77.641859,-5.637505,-0.205300,10.730623,9.386146
254,1769515241.119832754,76.240784,4.772681,-0.953780,78.512412,-5.759956,-0.189500,10.801892,9.604844
255,1769515241.219806910,76.518410,4.781004,-0.960538,79.117276,-5.847782,-0.195200,10.968634,9.684544
256,1769515241.319805384,76.797554,4.786284,-0.967307,79.383798,-5.866733,-0.191000,10.989908,9.724273
257,1769515241.519804955,77.381783,4.794776,-0.996295,79.785104,-5.913565,-0.196000,11.003863,9.798670
